probe_index,probe_label,neuron_A,neuron_B,weighted_score,AHP_depth_abs_slow,AHP_slow_time,AP_amplitude,ISI_CV,ISI_values,adaptation_index,fast_AHP_change,inv_first_ISI,mean_frequency,spike_half_width,time_to_first_spike
0,Default_L4_SS_cADpyr_1,L23_PC_cADpyr_1,L4_PC_cADpyr_1,829.9431270087281,466.8478912189485,0.7405209777877608,0.0,0.567187460789706,34.30967964943816,0.1476204938855869,13.261545558309736,111.11111111117077,32.04909491356038,13.008475624842784,157.89999999999478
0,Default_L4_SS_cADpyr_1,L23_PC_cADpyr_1,L4_SP_cADpyr_1,1083.4965107715645,374.5559510483162,0.7891479483636861,0.0,0.27494609472695397,25.66444795605151,0.0903826591275655,1.2749288937451326,555.555555555587,43.503901731750744,3.3872488839001424,78.39999999999556
0,Default_L4_SS_cADpyr_1,L23_PC_cADpyr_1,L4_SS_cADpyr_1,2015.115087822188,519.2368003102353,0.5564773401845644,120.20627400731576,0.7984618189772372,28.05457181993724,0.10679695259728442,163.032294673766,1089.924670433207,14.633684753207003,0.7650557127649116,77.79999999999559
0,Default_L4_SS_cADpyr_1,L23_PC_cADpyr_1,L5_STPC_cADpyr_1,1838.3982251489135,683.851397288858,0.6399663977622245,0.0,0.6378679089208084,39.77196458143591,0.3603833981410259,0.8623353596821958,1032.9861111111697,6.197440873445355,35.090758229500295,37.99999999999784
0,Default_L4_SS_cADpyr_1,L23_PC_cADpyr_1,L5_TTPC1_cADpyr_1,1803.8172891492388,569.731498376819,0.5641490117405897,0.0,0.03805584269212625,53.79877322021744,0.2552644768004879,7.571720792377522,1090.8271354519438,3.0945550498603076,0.5361369267918688,77.39999999999561
0,Default_L4_SS_cADpyr_1,L23_PC_cADpyr_1,L5_TTPC2_cADpyr_1,1617.4170702880501,388.59425743744737,0.8283333882969491,0.0,0.33296626361628845,21.2994558189126,0.2663696518241894,6.150196245601055,1079.0598290598905,64.26659397955277,0.31906844291169456,56.299999999996814
0,Default_L4_SS_cADpyr_1,L23_PC_cADpyr_1,L5_UTPC_cADpyr_1,1696.7447978626105,493.17901573671105,0.6838437553541614,0.0,0.3017363728043867,33.5688708613961,0.10599443985556775,1.0718664408674945,1071.111111111172,18.20445626523814,0.31790287921616556,78.19999999999557
0,Default_L4_SS_cADpyr_1,L23_PC_cADpyr_1,L6_BPC_cADpyr_1,1653.5662427533034,449.12467333542855,0.7861931495084123,0.0,0.5231933568116571,23.505255982939854,0.17187667063852768,0.9161720058126565,1066.4682539683147,39.96190252526327,4.60872175858973,67.49999999999618
0,Default_L4_SS_cADpyr_1,L23_PC_cADpyr_1,L6_IPC_cADpyr_1,1457.9595131692406,398.3687303032772,0.747151874615227,0.0,0.3137247792217741,27.867776035709408,0.19534679445509076,2.1432959096401163,898.3451536643537,39.68902187438148,11.889311933591042,78.39999999999556
0,Default_L4_SS_cADpyr_1,L23_PC_cADpyr_1,L6_TPC_L4_cADpyr_1,1972.8463051166848,625.5842784040285,0.8706300187795897,0.0,1.8240784255670202,35.25362865483996,0.19127832688037535,0.9866450385110892,1111.1111111111743,28.82882882882939,0.4958263080796398,167.69999999999476
