L4_ChC_cACint209_1,L4_ChC,cAC
L4_ChC_dNAC222_1,L4_ChC,dNAC
L4_ChC_cNAC187_1,L4_ChC,cNAC
L4_LBC_cACint209_1,L4_LBC,cAC
L4_LBC_cSTUT189_1,L4_LBC,cSTUT
L4_LBC_dNAC222_1,L4_LBC,dNAC
L4_LBC_cNAC187_1,L4_LBC,cNAC
L4_LBC_dSTUT214_1,L4_LBC,dSTUT
L6_TPC_L1_cADpyr231_1,L6_TPC_L1,cADpyr
L4_SS_cADpyr230_1,L4_SS,cADpyr
L4_SBC_cACint209_1,L4_SBC,cAC
L4_SBC_dNAC222_1,L4_SBC,dNAC
L4_SBC_bNAC219_1,L4_SBC,bNAC
L5_NGC_cACint209_1,L5_NGC,cAC
L5_NGC_cSTUT189_1,L5_NGC,cSTUT
L5_NGC_cNAC187_1,L5_NGC,cNAC
L5_NGC_bNAC219_1,L5_NGC,bNAC
L4_SP_cADpyr230_1,L4_SP,cADpyr
L5_NBC_cSTUT189_1,L5_NBC,cSTUT
L5_NBC_dSTUT214_1,L5_NBC,dSTUT
L5_NBC_bSTUT213_1,L5_NBC,bSTUT
L5_NBC_cIR216_1,L5_NBC,cIR
L5_NBC_cACint209_1,L5_NBC,cAC
L5_NBC_cNAC187_1,L5_NBC,cNAC
L5_DBC_bNAC219_1,L5_DBC,bNAC
L5_DBC_bSTUT213_1,L5_DBC,bSTUT
L5_DBC_cIR216_1,L5_DBC,cIR
L5_DBC_cACint209_1,L5_DBC,cAC
L5_DBC_cNAC187_1,L5_DBC,cNAC
L6_UTPC_cADpyr231_1,L6_UTPC,cADpyr
L5_BTC_cACint209_1,L5_BTC,cAC
L5_BTC_cNAC187_1,L5_BTC,cNAC
L23_PC_cADpyr229_1,L23_PC,cADpyr
L4_NGC_cACint209_1,L4_NGC,cAC
L4_NGC_cSTUT189_1,L4_NGC,cSTUT
L4_NGC_cNAC187_1,L4_NGC,cNAC
L4_NGC_bNAC219_1,L4_NGC,bNAC
L5_MC_cSTUT189_1,L5_MC,cSTUT
L5_MC_bSTUT213_1,L5_MC,bSTUT
L5_MC_dNAC222_1,L5_MC,dNAC
L5_MC_cACint209_1,L5_MC,cAC
L5_MC_cNAC187_1,L5_MC,cNAC
L6_LBC_cSTUT189_1,L6_LBC,cSTUT
L6_LBC_bNAC219_1,L6_LBC,bNAC
L6_LBC_bSTUT213_1,L6_LBC,bSTUT
L6_LBC_cNAC187_1,L6_LBC,cNAC
L4_NBC_cACint209_1,L4_NBC,cAC
L4_NBC_cIR216_1,L4_NBC,cIR
L4_NBC_dNAC222_1,L4_NBC,dNAC
L4_NBC_cNAC187_1,L4_NBC,cNAC
L1_DLAC_cNAC187_1,L1_DLAC,cNAC
L23_LBC_cSTUT189_1,L23_LBC,cSTUT
L23_LBC_bNAC219_1,L23_LBC,bNAC
L23_LBC_dNAC222_1,L23_LBC,dNAC
L23_LBC_cACint209_1,L23_LBC,cAC
L23_LBC_cNAC187_1,L23_LBC,cNAC
L5_UTPC_cADpyr232_1,L5_UTPC,cADpyr
L5_STPC_cADpyr232_1,L5_STPC,cADpyr
L4_BTC_bSTUT213_1,L4_BTC,bSTUT
L4_BTC_dNAC222_1,L4_BTC,dNAC
L4_BTC_cACint209_1,L4_BTC,cAC
L4_BTC_cNAC187_1,L4_BTC,cNAC
L23_NBC_bNAC219_1,L23_NBC,bNAC
L23_NBC_cIR216_1,L23_NBC,cIR
L23_NBC_dNAC222_1,L23_NBC,dNAC
L23_NBC_cACint209_1,L23_NBC,cAC
L23_NBC_cNAC187_1,L23_NBC,cNAC
L23_SBC_cACint209_1,L23_SBC,cAC
L23_SBC_dNAC222_1,L23_SBC,dNAC
L23_SBC_bNAC219_1,L23_SBC,bNAC
L5_ChC_cACint209_1,L5_ChC,cAC
L5_ChC_dNAC222_1,L5_ChC,dNAC
L5_ChC_cNAC187_1,L5_ChC,cNAC
L1_NGC-SA_cNAC187_1,L1_NGC-SA,cNAC
L23_MC_cACint209_1,L23_MC,cAC
L23_MC_dNAC222_1,L23_MC,dNAC
L23_MC_cNAC187_1,L23_MC,cNAC
L23_MC_bNAC219_1,L23_MC,bNAC
L1_DAC_cNAC187_1,L1_DAC,cNAC
L1_DAC_bNAC219_1,L1_DAC,bNAC
L6_ChC_cACint209_1,L6_ChC,cAC
L6_ChC_dNAC222_1,L6_ChC,dNAC
L6_ChC_cNAC187_1,L6_ChC,cNAC
L4_MC_cACint209_1,L4_MC,cAC
L4_MC_dNAC222_1,L4_MC,dNAC
L4_MC_cNAC187_1,L4_MC,cNAC
L4_MC_bNAC219_1,L4_MC,bNAC
L5_BP_cNAC187_1,L5_BP,cNAC
L5_BP_bNAC219_1,L5_BP,bNAC
L5_BP_cACint209_1,L5_BP,cAC
L5_BP_dSTUT214_1,L5_BP,dSTUT
L5_LBC_cSTUT189_1,L5_LBC,cSTUT
