bbp166 cAC L6_ChC_cACint209_1 axon_341 dend_52
bbp167 cNAC L6_ChC_cNAC187_1 axon_348 dend_16
bbp171 bNAC L6_DBC_bNAC219_1 axon_216 dend_1
bbp173 cAC L6_DBC_cACint209_1 axon_369 dend_32
bbp175 cNAC L6_DBC_cNAC187_1 axon_0 dend_75
bbp179 bNAC L6_LBC_bNAC219_1 axon_211 dend_15
bbp181 cNAC L6_LBC_cNAC187_1 axon_121 dend_21
bbp185 bNAC L6_MC_bNAC219_1 axon_8 dend_12
bbp187 cAC L6_MC_cACint209_1 axon_37 dend_50
bbp189 cNAC L6_MC_cNAC187_1 axon_8 dend_12
bbp193 cAC L6_NBC_cACint209_1 axon_188 dend_34
bbp195 cNAC L6_NBC_cNAC187_1 axon_450 dend_68
bbp198 bNAC L6_NGC_bNAC219_1 axon_24 dend_5
bbp199 cAC L6_NGC_cACint209_1 axon_207 dend_11
bbp200 cNAC L6_NGC_cNAC187_1 axon_200 dend_75
bbp202 bNAC L6_SBC_bNAC219_1 axon_119 dend_28
bbp203 cAC L6_SBC_cACint209_1 axon_117 dend_2
