L5_NBC_bAC217_1,L5_NBC,bAC
L5_NBC_bIR215_1,L5_NBC,bIR
L5_DBC_bAC217_1,L5_DBC,bAC
L5_DBC_bIR215_1,L5_DBC,bIR
L5_BTC_bAC217_1,L5_BTC,bAC
L5_MC_bAC217_1,L5_MC,bAC
L5_MC_bIR215_1,L5_MC,bIR
L6_LBC_bAC217_1,L6_LBC,bAC
L6_LBC_bIR215_1,L6_LBC,bIR
L23_LBC_bAC217_1,L23_LBC,bAC
L4_BTC_bAC217_1,L4_BTC,bAC
L4_BTC_bIR215_1,L4_BTC,bIR
L23_NBC_bAC217_1,L23_NBC,bAC
L23_MC_bAC217_1,L23_MC,bAC
L4_MC_bAC217_1,L4_MC,bAC
L5_BP_bAC217_1,L5_BP,bAC
L5_BP_bIR215_1,L5_BP,bIR
L5_LBC_bAC217_1,L5_LBC,bAC
L4_DBC_bAC217_1,L4_DBC,bAC
L4_DBC_bIR215_1,L4_DBC,bIR
L4_BP_bAC217_1,L4_BP,bAC
L4_BP_bIR215_1,L4_BP,bIR
L6_MC_bAC217_1,L6_MC,bAC
L6_MC_bIR215_1,L6_MC,bIR
L6_DBC_bAC217_1,L6_DBC,bAC
L6_DBC_bIR215_1,L6_DBC,bIR
L23_DBC_bIR215_1,L23_DBC,bIR
L23_DBC_bAC217_1,L23_DBC,bAC
L23_BP_bAC217_1,L23_BP,bAC
L23_BP_bIR215_1,L23_BP,bIR
L6_NBC_bAC217_1,L6_NBC,bAC
L6_NBC_bIR215_1,L6_NBC,bIR
L23_BTC_bIR215_1,L23_BTC,bIR
L23_BTC_bAC217_1,L23_BTC,bAC
L6_BTC_bAC217_1,L6_BTC,bAC
L6_BP_bAC217_1,L6_BP,bAC
L6_BP_bIR215_1,L6_BP,bIR
L6_BP_dSTUT214_1,L6_BP,dSTUT
L4_ChC_cACint209_1,L4_ChC,cAC
