,New Base,Old Base
0,0.07106947840506174,0.026145
1,0.01893961801124866,0.004226
2,0.0006408815370583433,0.000143
3,0.0009745995168562779,8e-05
4,5.1736345883763395,3.137968
5,1.0873972284384315,0.089259
6,0.006827,0.006827
7,0.052491854526803335,0.007104
8,0.001632234057993127,0.00099
9,2.6463506547143623,0.973538
10,0.03922374274359874,0.008752
11,8.154845485377136e-05,3e-05
12,4.4816890703380645,1.0
13,0.8249224230461235,0.303472
14,1.6222675379117446,0.983955
15,0.0014924024604225756,0.000333
16,8.154845485377136e-05,3e-05
17,1.0,1.0
18,-75.0,-75.0
