Parameters,Values
dend_na12,0.0006922
soma_na12,0.2891301
ais_na12,1.0805419
dend_na16,0.0009688
soma_na16,0.1302487
ais_na16,1.4544224
ais_ca,0.0015458
ais_KCa,0.0027819
axon_KP,0.1498821
axon_KT,1.1798011
axon_K,0.1146702
axon_KCA,0.6900045
axon_HVA,0.0000134
axon_LVA,0.0004512
node_na,0.2752364
soma_K,0.1193942
dend_k,0.0176729
dend_Ih,0.000080
gpas_all,0.0000219
cm_all,1.4377617
